,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8458,5075,121,1924,0.0,6.5,94.0
8459,4813,2,1355,0.0,18.5,63.0
8460,4813,2,1355,0.0,20.0,128.0
8461,4813,2,1355,0.0,22.5,158.0
8462,4813,2,1355,0.0,0.0,127.0
8463,4813,2,1355,0.0,1.5,124.0
8464,4813,2,1355,0.0,3.5,31.0
8465,4813,2,1355,0.0,5.5,158.0
8466,4813,2,1355,0.0,7.0,126.0
8467,6616,40,1484,0.0,20.0,31.0
8468,6616,40,1484,0.0,21.5,127.0
8469,3987,156,2597,0.0,17.0,0.0
8470,3987,156,2597,0.0,19.5,62.0
8471,6419,115,1647,0.0,21.0,96.0
8472,9650,13,731,0.0,16.5,0.0
8473,9650,13,731,0.0,19.0,32.0
8474,2411,222,624,0.0,17.5,526.0
8475,640,282,2999,1.0,17.5,31.0
8476,640,282,2999,1.0,19.5,33.0
8477,4441,185,603,0.0,16.5,0.0
8478,4441,185,603,0.0,19.5,0.0
8479,4441,185,603,0.0,1.0,0.0
8480,429,47,831,0.0,5.5,191.0
8481,429,47,831,0.0,10.5,33.0
8482,6297,37,2680,0.0,19.5,31.0
8483,6297,37,2680,0.0,22.0,95.0
8484,7635,68,38,1.0,4.0,32.0
8485,5606,103,1768,0.0,19.0,62.0
8486,5606,103,1768,0.0,23.0,65.0
8487,5606,103,1768,0.0,3.0,95.0
8488,5606,103,1768,0.0,6.5,62.0
8489,5606,103,1768,0.0,10.0,31.0
8490,3404,242,386,0.0,5.0,250.0
8491,4045,183,574,1.0,18.0,0.0
8492,4045,183,574,1.0,21.0,63.0
8493,3763,245,2706,0.0,0.0,0.0
8494,3763,245,2706,0.0,1.5,0.0
8495,4922,34,1565,1.0,1.5,31.0
8496,543,278,2791,1.0,23.0,0.0
8497,543,278,2791,1.0,1.5,32.0
8498,4203,146,2313,1.0,5.5,31.0
8499,4562,15,1561,1.0,3.5,32.0
8500,4562,15,1561,1.0,5.5,64.0
8501,4694,155,2192,1.0,12.0,0.0
8502,4694,155,2192,1.0,13.0,0.0
8503,4694,155,2192,1.0,15.0,32.0
8504,4694,155,2192,1.0,18.0,63.0
8505,4694,155,2192,1.0,19.0,0.0
8506,5696,63,24,1.0,20.5,124.0
8507,5696,63,24,1.0,23.0,221.0
8508,5696,63,24,1.0,2.0,32.0
8509,3610,251,2766,0.0,20.5,63.0
8510,3610,251,2766,0.0,22.5,95.0
8511,5728,81,239,0.0,20.0,31.0
8512,4246,181,469,1.0,5.0,63.0
8513,4246,181,469,1.0,6.0,31.0
8514,4246,181,469,1.0,8.0,0.0
8515,9510,37,1560,1.0,17.0,64.0
8516,9510,37,1560,1.0,19.5,126.0
8517,4358,93,1844,0.0,17.0,0.0
8518,4358,93,1844,0.0,20.0,31.0
8519,4358,93,1844,0.0,23.0,63.0
8520,4358,93,1844,0.0,2.5,0.0
8521,4358,93,1844,0.0,5.5,94.0
8522,4358,93,1844,0.0,8.5,0.0
8523,3860,115,2000,0.0,20.5,62.0
8524,3860,115,2000,0.0,0.5,124.0
8525,6856,132,2223,0.0,21.5,94.0
8526,346,45,1309,0.0,23.5,64.0
8527,346,45,1309,0.0,1.0,30.0
8528,346,45,1309,0.0,3.0,127.0
8529,346,45,1309,0.0,4.5,32.0
8530,346,45,1309,0.0,6.5,65.0
8531,346,45,1309,0.0,8.5,31.0
8532,346,45,1309,0.0,10.0,31.0
8533,4032,266,2575,1.0,20.0,0.0
8534,4032,266,2575,1.0,22.0,190.0
